FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R1234ZEE,R227EA,0.33265,0.66735,320.0,8.241,447.728,0.078,0.001,0.002,0.02,13,9,2022 row per 1,1,8241000,-9.314492110332548,10903.520900480824
R1234ZEE,R227EA,0.33265,0.66735,325.007,10.617,455.413,0.074,0.003,0.001,0.014,11,8,2022 row per 1,1,10617000,-9.415662140119611,10906.99229054811
R1234ZEE,R227EA,0.33265,0.66735,329.996,12.978,462.748,0.07,0.004,0.001,0.006,16,12,2022 row per 1,1,12978000,-9.515582317001286,10909.340667894434
R1234ZEE,R227EA,0.33265,0.66735,335.001,15.291,469.451,0.066,0.001,0.009,0.08,13,9,2022 row per 1,1,15291000,-9.61492492848955,10907.267249749402
R1234ZEE,R227EA,0.33265,0.66735,340.007,17.608,475.988,0.063,0.001,0.003,0.022,16,12,2022 row per 1,1,17608000,-9.713378634968217,10905.634560821116
R1234ZEE,R227EA,0.33265,0.66735,345.012,19.938,482.518,0.061,0.001,0.002,0.013,16,12,2022 row per 1,1,19938000,-9.810895357637282,10905.100075500055
R1234ZEE,R227EA,0.33265,0.66735,309.994,1.305,403.552,0.108,0.001,0.001,0.008,10,7,2022 row per 1,1,1305000,-9.109681468862025,719.7776533083791
R1234ZEE,R227EA,0.33265,0.66735,314.991,3.546,412.365,0.099,0.001,0.001,0.005,8,6,2022 row per 1,1,3546000,-9.212399486168605,10657.125015414182
R1234ZEE,R227EA,0.33265,0.66735,320.0,5.801,420.82,0.092,0.001,0.001,0.015,12,8,2022 row per 1,1,5801000,-9.314492110332548,10668.097130656046
R1234ZEE,R227EA,0.33265,0.66735,325.008,8.053,428.882,0.085,0.003,0.002,0.021,9,6,2022 row per 1,1,8053000,-9.415682257157748,10676.447941333381
R1234ZEE,R227EA,0.33265,0.66735,329.997,10.294,436.559,0.08,0.002,0.001,0.007,13,9,2022 row per 1,1,10294000,-9.515602255816212,10682.99016770268
R1234ZEE,R227EA,0.33265,0.66735,335.002,12.528,443.853,0.075,0.001,0.001,0.007,12,8,2022 row per 1,1,12528000,-9.61494468668446,10687.277835670307
R1234ZEE,R227EA,0.33265,0.66735,340.006,14.762,450.927,0.071,0.001,0.0,0.003,13,9,2022 row per 1,1,14762000,-9.713359059173087,10690.993327396136
R1234ZEE,R227EA,0.33265,0.66735,345.012,16.994,457.792,0.068,0.0,0.0,0.002,13,9,2022 row per 1,1,16994000,-9.810895357637282,10694.056301293045
R1234ZEE,R227EA,0.33265,0.66735,314.988,1.411,383.283,0.121,0.001,0.001,0.017,9,6,2022 row per 1,1,1411000,-9.212338078121913,716.2847786133348
R1234ZEE,R227EA,0.33265,0.66735,319.999,3.535,392.356,0.11,0.001,0.001,0.011,13,9,2022 row per 1,1,3535000,-9.314471816245081,10396.608450168413
R1234ZEE,R227EA,0.33265,0.66735,325.006,5.662,400.945,0.101,0.002,0.001,0.014,12,8,2022 row per 1,1,5662000,-9.415642023045935,10414.193549967289
R1234ZEE,R227EA,0.33265,0.66735,329.998,7.782,409.074,0.094,0.002,0.002,0.018,12,8,2022 row per 1,1,7782000,-9.515622194595228,10427.968042813563
R1234ZEE,R227EA,0.33265,0.66735,335.001,9.886,416.623,0.087,0.001,0.0,0.009,16,12,2022 row per 1,1,9886000,-9.61492492848955,10437.100817509212
R1234ZEE,R227EA,0.33265,0.66735,340.007,12.002,424.036,0.082,0.001,0.0,0.001,11,8,2022 row per 1,1,12002000,-9.713378634968217,10445.777921367908
R1234ZEE,R227EA,0.33265,0.66735,345.013,14.117,431.205,0.077,0.003,0.0,0.001,7,4,2022 row per 1,1,14117000,-9.810914749284976,10453.137600845714
R1234ZEE,R227EA,0.33265,0.66735,319.999,1.467,361.899,0.138,0.002,0.001,0.011,11,7,2022 row per 1,1,1467000,-9.314471816245081,726.5652072017522
R1234ZEE,R227EA,0.33265,0.66735,325.005,3.458,371.107,0.125,0.002,0.001,0.173,12,8,2022 row per 1,1,3458000,-9.415621905936723,10103.115099050556
R1234ZEE,R227EA,0.33265,0.66735,329.997,5.448,379.872,0.114,0.002,0.001,0.004,13,9,2022 row per 1,1,5448000,-9.515602255816212,10130.34205948509
R1234ZEE,R227EA,0.33265,0.66735,335.004,7.431,387.969,0.105,0.005,0.001,0.02,11,7,2022 row per 1,1,7431000,-9.614984202965479,10149.923075321043
R1234ZEE,R227EA,0.33265,0.66735,340.005,9.423,395.778,0.097,0.002,0.0,0.004,16,12,2022 row per 1,1,9423000,-9.713339483341338,10167.080328235123
R1234ZEE,R227EA,0.33265,0.66735,345.012,11.417,403.311,0.09,0.002,0.0,0.001,10,6,2022 row per 1,1,11417000,-9.810895357637282,10181.325757070197
R1234ZEE,R227EA,0.33265,0.66735,325.005,1.545,340.599,0.159,0.001,0.001,0.017,9,5,2022 row per 1,1,1545000,-9.415621905936723,751.2518720493038
R1234ZEE,R227EA,0.33265,0.66735,329.996,3.405,350.071,0.143,0.003,0.0,0.008,16,12,2022 row per 1,1,3405000,-9.515582317001286,9780.449776261743
R1234ZEE,R227EA,0.33265,0.66735,335.002,5.258,358.701,0.129,0.002,0.001,0.02,10,6,2022 row per 1,1,5258000,-9.61494468668446,9819.880377764945
R1234ZEE,R227EA,0.33265,0.66735,340.007,7.124,367.006,0.118,0.002,0.0,0.003,7,4,2022 row per 1,1,7124000,-9.713378634968217,9851.78264010236
R1234ZEE,R227EA,0.33265,0.66735,345.012,8.997,374.987,0.108,0.003,0.001,0.007,15,11,2022 row per 1,1,8997000,-9.810895357637282,9878.039134737483
R1234ZEE,R227EA,0.33265,0.66735,329.997,1.695,320.208,0.184,0.001,0.0,0.002,7,4,2022 row per 1,1,1695000,-9.515602255816212,823.462871045225
R1234ZEE,R227EA,0.33265,0.66735,335.001,3.431,329.769,0.163,0.001,0.001,0.015,15,11,2022 row per 1,1,3431000,-9.61492492848955,9429.176294906005
R1234ZEE,R227EA,0.33265,0.66735,340.006,5.178,338.758,0.146,0.002,0.001,0.008,8,5,2022 row per 1,1,5178000,-9.713359059173087,9493.91687169915
R1234ZEE,R227EA,0.33265,0.66735,345.012,6.933,347.28,0.133,0.001,0.001,0.006,10,7,2022 row per 1,1,6933000,-9.810895357637282,9542.210778349094
R1234ZEE,R227EA,0.33265,0.66735,335.0,1.674,295.568,0.224,0.001,0.0,0.17,9,5,2022 row per 1,1,1674000,-9.614905170258373,779.2939441756255
R1234ZEE,R227EA,0.33265,0.66735,340.006,3.281,305.795,0.196,0.002,0.0,0.006,11,7,2022 row per 1,1,3281000,-9.713359059173087,8948.056655586084
R1234ZEE,R227EA,0.33265,0.66735,345.013,4.898,315.092,0.173,0.001,0.0,0.003,8,5,2022 row per 1,1,4898000,-9.810914749284976,9065.709226494915
R1234ZEE,R227EA,0.33265,0.66735,340.006,1.985,278.046,0.258,0.002,0.0,0.003,7,5,2022 row per 1,1,1985000,-9.713359059173087,954.1983532254944
R1234ZEE,R227EA,0.33265,0.66735,345.012,3.488,287.998,0.224,0.004,0.0,0.121,9,6,2022 row per 1,1,3488000,-9.810895357637282,8493.635437358436
R1234ZEE,R227EA,0.33265,0.66735,345.012,2.126,255.722,0.317,0.0,0.001,0.153,4,2,2022 row per 1,1,2126000,-9.810895357637282,1012.8223057010397
R1234ZEE,R227EA,0.66803,0.33197,230.003,0.053,779.721,0.041,0.01,0.0,0.012,16,12,2022 row per 1,1,53000,-5.470272123389671,28.30943492469257
R1234ZEE,R227EA,0.66803,0.33197,235.014,0.063,757.298,0.041,0.006,0.0,0.111,16,12,2022 row per 1,1,63000,-5.545790312925757,32.99777666571951
R1234ZEE,R227EA,0.66803,0.33197,239.996,0.074,734.91,0.041,0.001,0.0,0.035,16,12,2022 row per 1,1,74000,-5.620969380067679,38.027539221502245
R1234ZEE,R227EA,0.66803,0.33197,245.001,0.088,712.527,0.042,0.001,0.0,0.001,16,12,2022 row per 1,1,88000,-5.696585268159769,44.408900961263434
R1234ZEE,R227EA,0.66803,0.33197,250.004,0.107,690.311,0.044,0.001,0.0,0.009,16,12,2022 row per 1,1,107000,-5.772251471384616,53.10476432414425
R1234ZEE,R227EA,0.66803,0.33197,254.994,0.129,668.279,0.047,0.006,0.001,0.001,16,12,2022 row per 1,1,129000,-5.847790710547022,63.00996897485918
R1234ZEE,R227EA,0.66803,0.33197,259.987,0.152,646.362,0.048,0.001,0.0,0.016,16,12,2022 row per 1,1,152000,-5.923432950621602,73.06964803492039
R1234ZEE,R227EA,0.66803,0.33197,269.988,0.213,602.624,0.053,0.006,0.0,0.059,16,12,2022 row per 1,1,213000,-6.075061255973587,99.46676101112897
R1234ZEE,R227EA,0.66803,0.33197,274.996,0.253,580.89,0.057,0.002,0.0,0.004,16,12,2022 row per 1,1,253000,-6.151014810738947,116.63123719534391
R1234ZEE,R227EA,0.66803,0.33197,279.999,0.298,559.193,0.06,0.001,0.0,0.002,16,12,2022 row per 1,1,298000,-6.2268850407916325,135.69723255031045
R1234ZEE,R227EA,0.66803,0.33197,285.001,0.347,537.518,0.065,0.001,0.001,0.003,16,12,2022 row per 1,1,347000,-6.302712249233915,156.12618540979878
R1234ZEE,R227EA,0.66803,0.33197,290.003,0.406,515.853,0.07,0.001,0.0,0.003,13,9,2022 row per 1,1,406000,-6.378489893682311,180.74603288080385
R1234ZEE,R227EA,0.66803,0.33197,235.009,0.447,759.575,0.044,0.014,0.001,0.016,16,12,2022 row per 1,1,447000,-5.5457149098930225,16875.73361945342
R1234ZEE,R227EA,0.66803,0.33197,240.003,0.452,737.642,0.043,0.01,0.0,0.206,8,6,2022 row per 1,1,452000,-5.621075075800354,16671.187928494608
R1234ZEE,R227EA,0.66803,0.33197,240.003,0.455,737.188,0.042,0.007,0.0,0.0,16,12,2022 row per 1,1,455000,-5.621075075800354,16671.304272520836
R1234ZEE,R227EA,0.66803,0.33197,245.005,0.462,715.203,0.042,0.002,0.001,0.264,16,12,2022 row per 1,1,462000,-5.696645733985706,16461.769638276863
R1234ZEE,R227EA,0.66803,0.33197,250.002,0.465,693.131,0.044,0.002,0.0,0.317,16,12,2022 row per 1,1,465000,-5.772221208330197,16247.06261601407
R1234ZEE,R227EA,0.66803,0.33197,254.987,0.469,670.835,0.047,0.01,0.0,0.127,16,12,2022 row per 1,1,469000,-5.847684700381608,16027.162641442263
R1234ZEE,R227EA,0.66803,0.33197,259.986,0.475,648.959,0.048,0.002,0.0,0.172,16,12,2022 row per 1,1,475000,-5.923417796081663,15800.324650729826
R1234ZEE,R227EA,0.66803,0.33197,269.99,1.033,609.659,0.052,0.002,0.002,0.018,16,12,2022 row per 1,1,1033000,-6.075091587792112,15357.776703716767
R1234ZEE,R227EA,0.66803,0.33197,274.995,4.491,616.426,0.05,0.001,0.001,0.005,16,12,2022 row per 1,1,4491000,-6.150999644388258,15327.841319862096
R1234ZEE,R227EA,0.66803,0.33197,280.0,8.049,623.896,0.048,0.002,0.002,0.018,16,12,2022 row per 1,1,8049000,-6.226900203655443,15305.844044911926
R1234ZEE,R227EA,0.66803,0.33197,285.001,11.526,630.687,0.047,0.0,0.002,0.01,16,12,2022 row per 1,1,11526000,-6.302712249233915,15281.301858929268
R1234ZEE,R227EA,0.66803,0.33197,290.003,14.982,637.284,0.046,0.001,0.001,0.004,16,12,2022 row per 1,1,14982000,-6.378489893682311,15257.552474879747
R1234ZEE,R227EA,0.66803,0.33197,294.998,18.419,643.731,0.044,0.001,0.001,0.007,16,12,2022 row per 1,1,18419000,-6.45408921680969,15235.008335604263
R1234ZEE,R227EA,0.66803,0.33197,299.999,21.844,650.052,0.043,0.001,0.001,0.006,16,12,2022 row per 1,1,21844000,-6.5296831915981475,15213.453927372364
R1234ZEE,R227EA,0.66803,0.33197,304.997,25.231,656.124,0.042,0.002,0.001,0.007,16,12,2022 row per 1,1,25231000,-6.605111139497725,15191.920862917177
R1234ZEE,R227EA,0.66803,0.33197,309.999,28.622,662.194,0.042,0.002,0.001,0.007,16,12,2022 row per 1,1,28622000,-6.680453526484409,15172.142687151934
R1234ZEE,R227EA,0.66803,0.33197,314.995,31.989,668.123,0.041,0.002,0.001,0.002,16,12,2022 row per 1,1,31989000,-6.755534366000842,15153.063395733054
R1234ZEE,R227EA,0.66803,0.33197,320.004,35.312,673.762,0.04,0.002,0.008,0.044,16,12,2022 row per 1,1,35312000,-6.830613119526516,15133.123751021833
R1234ZEE,R227EA,0.66803,0.33197,320.005,35.204,673.17,0.04,0.002,0.003,0.012,16,12,2022 row per 1,1,35204000,-6.830628086843429,15128.322845074059
R1234ZEE,R227EA,0.66803,0.33197,325.009,38.483,678.612,0.04,0.001,0.008,0.043,16,12,2022 row per 1,1,38483000,-6.905408744872581,15108.303607486321
R1234ZEE,R227EA,0.66803,0.33197,330.0,41.708,683.805,0.039,0.001,0.011,0.059,16,12,2022 row per 1,1,41708000,-6.9797476185193315,15087.914218786778
R1234ZEE,R227EA,0.66803,0.33197,335.002,44.866,688.638,0.039,0.002,0.015,0.079,16,12,2022 row per 1,1,44866000,-7.053977253014008,15065.913107056911
R1234ZEE,R227EA,0.66803,0.33197,340.007,48.022,693.492,0.038,0.001,0.014,0.071,16,12,2022 row per 1,1,48022000,-7.12795314237581,15045.251506444027
R1234ZEE,R227EA,0.66803,0.33197,274.992,1.213,589.52,0.055,0.001,0.001,0.007,16,12,2022 row per 1,1,1213000,-6.150954145334426,15121.287647703395
R1234ZEE,R227EA,0.66803,0.33197,279.997,4.543,596.582,0.053,0.001,0.001,0.01,16,12,2022 row per 1,1,4543000,-6.226854715060684,15094.005449355876
R1234ZEE,R227EA,0.66803,0.33197,284.999,7.874,603.576,0.051,0.001,0.0,0.003,16,12,2022 row per 1,1,7874000,-6.3026819388948505,15068.994546442027
R1234ZEE,R227EA,0.66803,0.33197,290.001,11.198,610.441,0.049,0.001,0.001,0.008,16,12,2022 row per 1,1,11198000,-6.378459607660886,15045.538487250109
R1234ZEE,R227EA,0.66803,0.33197,294.995,14.51,617.164,0.048,0.005,0.001,0.004,16,12,2022 row per 1,1,14510000,-6.454043838196566,15023.629082558524
R1234ZEE,R227EA,0.66803,0.33197,299.999,17.813,623.752,0.046,0.003,0.006,0.029,16,12,2022 row per 1,1,17813000,-6.5296831915981475,15002.616039066203
R1234ZEE,R227EA,0.66803,0.33197,304.996,21.164,630.596,0.045,0.001,0.005,0.033,16,12,2022 row per 1,1,21164000,-6.605096061604844,14986.17975507408
R1234ZEE,R227EA,0.66803,0.33197,309.999,24.461,637.032,0.044,0.001,0.003,0.019,16,12,2022 row per 1,1,24461000,-6.680453526484409,14968.156041233296
R1234ZEE,R227EA,0.66803,0.33197,314.994,27.724,643.237,0.043,0.001,0.001,0.007,16,12,2022 row per 1,1,27724000,-6.755519356634154,14950.238511460477
R1234ZEE,R227EA,0.66803,0.33197,320.002,30.973,649.279,0.042,0.003,0.002,0.009,16,12,2022 row per 1,1,30973000,-6.83058318486597,14932.674230536317
R1234ZEE,R227EA,0.66803,0.33197,325.009,34.192,655.128,0.041,0.001,0.001,0.004,16,12,2022 row per 1,1,34192000,-6.905408744872581,14915.171882245495
R1234ZEE,R227EA,0.66803,0.33197,330.0,37.386,660.862,0.041,0.002,0.001,0.005,16,12,2022 row per 1,1,37386000,-6.9797476185193315,14898.45131746758
R1234ZEE,R227EA,0.66803,0.33197,335.003,40.524,666.237,0.04,0.001,0.004,0.024,16,12,2022 row per 1,1,40524000,-7.053992064022931,14880.182358770653
R1234ZEE,R227EA,0.66803,0.33197,340.008,43.67,671.652,0.039,0.001,0.001,0.008,16,12,2022 row per 1,1,43670000,-7.127967891347818,14863.576641809017
R1234ZEE,R227EA,0.66803,0.33197,345.013,46.803,677.002,0.039,0.0,0.001,0.007,16,12,2022 row per 1,1,46803000,-7.201621302494742,14847.678225552978
R1234ZEE,R227EA,0.66803,0.33197,279.994,1.084,566.725,0.059,0.002,0.002,0.017,16,12,2022 row per 1,1,1084000,-6.226809226455948,14854.030029011468
R1234ZEE,R227EA,0.66803,0.33197,284.996,4.255,573.957,0.056,0.002,0.001,0.005,16,12,2022 row per 1,1,4255000,-6.302636473371428,14828.739008131155
R1234ZEE,R227EA,0.66803,0.33197,289.999,7.438,581.18,0.054,0.001,0.001,0.01,16,12,2022 row per 1,1,7438000,-6.3784293216278956,14806.13070033986
R1234ZEE,R227EA,0.66803,0.33197,294.993,10.579,587.989,0.052,0.001,0.017,0.131,16,12,2022 row per 1,1,10579000,-6.454013585768599,14782.972730817111
R1234ZEE,R227EA,0.66803,0.33197,299.995,13.705,594.556,0.05,0.003,0.002,0.018,16,12,2022 row per 1,1,13705000,-6.529622773459868,14760.414520735061
R1234ZEE,R227EA,0.66803,0.33197,304.995,16.862,601.312,0.048,0.002,0.001,0.007,16,12,2022 row per 1,1,16862000,-6.605080983706133,14741.699872199115
R1234ZEE,R227EA,0.66803,0.33197,309.998,20.016,607.958,0.047,0.002,0.001,0.013,16,12,2022 row per 1,1,20016000,-6.680438480316831,14724.290640383193
R1234ZEE,R227EA,0.66803,0.33197,314.992,23.151,614.438,0.046,0.002,0.001,0.009,16,12,2022 row per 1,1,23151000,-6.755489337877141,14707.66508513857
R1234ZEE,R227EA,0.66803,0.33197,320.003,26.278,620.767,0.045,0.002,0.001,0.009,16,12,2022 row per 1,1,26278000,-6.830598152200695,14691.412941626517
R1234ZEE,R227EA,0.66803,0.33197,325.008,29.384,626.923,0.044,0.002,0.001,0.005,16,12,2022 row per 1,1,29384000,-6.905393824677142,14675.67117669198
R1234ZEE,R227EA,0.66803,0.33197,329.999,32.463,632.908,0.043,0.002,0.001,0.004,16,12,2022 row per 1,1,32463000,-6.979732750368042,14660.377574880955
R1234ZEE,R227EA,0.66803,0.33197,335.003,35.506,638.616,0.042,0.001,0.003,0.016,16,12,2022 row per 1,1,35506000,-7.053992064022931,14644.151314561876
R1234ZEE,R227EA,0.66803,0.33197,340.006,38.543,644.27,0.041,0.002,0.001,0.004,16,12,2022 row per 1,1,38543000,-7.127938393390931,14628.9844778116
R1234ZEE,R227EA,0.66803,0.33197,345.012,41.571,649.855,0.04,0.001,0.001,0.004,16,12,2022 row per 1,1,41571000,-7.20160662029838,14614.52716487033
R1234ZEE,R227EA,0.66803,0.33197,284.994,1.314,547.197,0.062,0.001,0.001,0.012,16,12,2022 row per 1,1,1314000,-6.302606163012599,14602.840495552633
R1234ZEE,R227EA,0.66803,0.33197,289.997,4.365,554.738,0.059,0.001,0.001,0.006,16,12,2022 row per 1,1,4365000,-6.378399035583339,14581.31555934145
R1234ZEE,R227EA,0.66803,0.33197,294.993,7.42,562.171,0.056,0.001,0.001,0.005,11,8,2022 row per 1,1,7420000,-6.454013585768599,14561.995450807646
R1234ZEE,R227EA,0.66803,0.33197,299.995,10.466,569.355,0.054,0.001,0.001,0.008,16,12,2022 row per 1,1,10466000,-6.529622773459868,14543.257634069634
R1234ZEE,R227EA,0.66803,0.33197,304.994,13.507,576.394,0.052,0.001,0.0,0.004,16,12,2022 row per 1,1,13507000,-6.605065905801586,14525.864955263778
R1234ZEE,R227EA,0.66803,0.33197,309.998,16.549,583.309,0.05,0.003,0.012,0.073,16,12,2022 row per 1,1,16549000,-6.680438480316831,14509.815424909872
R1234ZEE,R227EA,0.66803,0.33197,314.991,19.574,590.054,0.049,0.004,0.014,0.077,16,12,2022 row per 1,1,19574000,-6.755474328486815,14494.561196948816
R1234ZEE,R227EA,0.66803,0.33197,320.003,22.645,596.981,0.047,0.002,0.001,0.005,16,12,2022 row per 1,1,22645000,-6.830598152200695,14482.708100045884
R1234ZEE,R227EA,0.66803,0.33197,325.008,25.638,603.29,0.046,0.001,0.001,0.005,16,12,2022 row per 1,1,25638000,-6.905393824677142,14467.679037803671
R1234ZEE,R227EA,0.66803,0.33197,329.999,28.613,609.46,0.045,0.001,0.002,0.012,16,12,2022 row per 1,1,28613000,-6.979732750368042,14453.472662433845
R1234ZEE,R227EA,0.66803,0.33197,335.003,31.531,615.194,0.044,0.002,0.004,0.024,16,12,2022 row per 1,1,31531000,-7.053992064022931,14436.942534714492
R1234ZEE,R227EA,0.66803,0.33197,340.007,34.458,620.958,0.043,0.001,0.002,0.01,16,12,2022 row per 1,1,34458000,-7.12795314237581,14422.264525095121
R1234ZEE,R227EA,0.66803,0.33197,345.012,37.38,626.666,0.042,0.001,0.0,0.001,16,12,2022 row per 1,1,37380000,-7.20160662029838,14408.528916577146
R1234ZEE,R227EA,0.66803,0.33197,289.995,1.137,523.745,0.068,0.001,0.024,0.231,16,12,2022 row per 1,1,1137000,-6.378368749527218,1701.9510552112695
R1234ZEE,R227EA,0.66803,0.33197,294.992,3.997,531.144,0.064,0.001,0.003,0.027,16,12,2022 row per 1,1,3997000,-6.45399845954885,14283.27016363166
R1234ZEE,R227EA,0.66803,0.33197,299.994,6.895,538.71,0.061,0.002,0.001,0.01,14,10,2022 row per 1,1,6895000,-6.52960766891323,14266.761455744225
R1234ZEE,R227EA,0.66803,0.33197,304.993,9.787,546.05,0.058,0.001,0.001,0.008,16,12,2022 row per 1,1,9787000,-6.605050827891206,14251.110079901053
R1234ZEE,R227EA,0.66803,0.33197,309.995,12.667,553.139,0.056,0.001,0.002,0.016,16,12,2022 row per 1,1,12667000,-6.680393341772982,14235.655133207782
R1234ZEE,R227EA,0.66803,0.33197,314.992,15.528,559.975,0.054,0.003,0.004,0.028,15,11,2022 row per 1,1,15528000,-6.755489337877141,14220.360684703572
R1234ZEE,R227EA,0.66803,0.33197,320.001,18.364,566.481,0.052,0.001,0.007,0.046,16,12,2022 row per 1,1,18364000,-6.8305682175223374,14204.157470399226
R1234ZEE,R227EA,0.66803,0.33197,325.007,21.179,572.767,0.05,0.003,0.008,0.054,16,12,2022 row per 1,1,21179000,-6.905378904471778,14188.11150063909
R1234ZEE,R227EA,0.66803,0.33197,329.999,23.976,578.896,0.049,0.002,0.006,0.035,16,12,2022 row per 1,1,23976000,-6.979732750368042,14172.87992202722
R1234ZEE,R227EA,0.66803,0.33197,335.002,26.756,584.82,0.047,0.002,0.004,0.032,15,11,2022 row per 1,1,26756000,-7.053977253014008,14157.522918663819
R1234ZEE,R227EA,0.66803,0.33197,340.007,29.549,590.789,0.046,0.002,0.001,0.009,16,12,2022 row per 1,1,29549000,-7.12795314237581,14144.226899759511
R1234ZEE,R227EA,0.66803,0.33197,345.012,32.341,596.706,0.045,0.003,0.001,0.006,16,12,2022 row per 1,1,32341000,-7.20160662029838,14132.05766117564
R1234ZEE,R227EA,0.66803,0.33197,294.991,1.279,503.415,0.073,0.001,0.0,0.004,16,12,2022 row per 1,1,1279000,-6.453983333325257,1164.6286320340607
R1234ZEE,R227EA,0.66803,0.33197,299.993,4.055,511.475,0.068,0.001,0.002,0.018,12,8,2022 row per 1,1,4055000,-6.529592564361765,14006.863785724197
R1234ZEE,R227EA,0.66803,0.33197,304.993,6.835,519.32,0.065,0.001,0.001,0.015,13,9,2022 row per 1,1,6835000,-6.605050827891206,13995.709824154676
R1234ZEE,R227EA,0.66803,0.33197,309.995,9.617,526.944,0.061,0.002,0.001,0.011,16,12,2022 row per 1,1,9617000,-6.680393341772982,13985.189556689067
R1234ZEE,R227EA,0.66803,0.33197,314.989,12.347,533.989,0.059,0.002,0.009,0.071,16,12,2022 row per 1,1,12347000,-6.755444309682531,13971.401280525479
R1234ZEE,R227EA,0.66803,0.33197,320.002,15.098,540.965,0.056,0.002,0.002,0.016,16,12,2022 row per 1,1,15098000,-6.83058318486597,13959.58218085485
R1234ZEE,R227EA,0.66803,0.33197,325.007,17.854,547.903,0.054,0.001,0.001,0.009,16,12,2022 row per 1,1,17854000,-6.905378904471778,13949.554527817241
R1234ZEE,R227EA,0.66803,0.33197,329.998,20.587,554.587,0.052,0.001,0.001,0.006,16,12,2022 row per 1,1,20587000,-6.979717882205823,13939.372776608436
R1234ZEE,R227EA,0.66803,0.33197,335.002,23.303,560.996,0.051,0.001,0.001,0.01,15,11,2022 row per 1,1,23303000,-7.053977253014008,13928.448888764819
R1234ZEE,R227EA,0.66803,0.33197,340.007,26.013,567.284,0.049,0.002,0.0,0.002,16,12,2022 row per 1,1,26013000,-7.12795314237581,13918.124283546776
R1234ZEE,R227EA,0.66803,0.33197,345.012,28.714,573.448,0.048,0.0,0.001,0.002,16,12,2022 row per 1,1,28714000,-7.20160662029838,13908.206884384996
R1234ZEE,R227EA,0.66803,0.33197,299.992,1.292,481.623,0.079,0.002,0.001,0.008,16,12,2022 row per 1,1,1292000,-6.529577459805474,661.3084113177922
R1234ZEE,R227EA,0.66803,0.33197,304.992,3.994,490.588,0.074,0.001,0.001,0.011,11,7,2022 row per 1,1,3994000,-6.605035749974995,13703.183493471686
R1234ZEE,R227EA,0.66803,0.33197,309.995,6.699,499.192,0.069,0.003,0.001,0.011,14,10,2022 row per 1,1,6699000,-6.680393341772982,13703.654637716303
R1234ZEE,R227EA,0.66803,0.33197,314.991,9.396,507.42,0.066,0.001,0.001,0.008,16,12,2022 row per 1,1,9396000,-6.755474328486815,13702.704906768906
R1234ZEE,R227EA,0.66803,0.33197,320.002,12.108,515.433,0.062,0.001,0.004,0.043,13,9,2022 row per 1,1,12108000,-6.83058318486597,13701.950924724388
R1234ZEE,R227EA,0.66803,0.33197,325.006,14.789,523.001,0.059,0.001,0.002,0.018,15,11,2022 row per 1,1,14789000,-6.90536398425649,13698.591672151726
R1234ZEE,R227EA,0.66803,0.33197,329.998,17.455,530.263,0.057,0.002,0.007,0.046,16,12,2022 row per 1,1,17455000,-6.979717882205823,13694.74203574895
R1234ZEE,R227EA,0.66803,0.33197,335.002,20.098,537.171,0.055,0.001,0.002,0.018,12,8,2022 row per 1,1,20098000,-7.053977253014008,13688.903977250517
R1234ZEE,R227EA,0.66803,0.33197,340.008,22.742,543.941,0.053,0.002,0.002,0.011,14,10,2022 row per 1,1,22742000,-7.127967891347818,13683.656384925844
R1234ZEE,R227EA,0.66803,0.33197,345.012,25.378,550.538,0.051,0.002,0.001,0.006,16,12,2022 row per 1,1,25378000,-7.20160662029838,13678.480350747031
R1234ZEE,R227EA,0.66803,0.33197,304.991,1.176,458.032,0.088,0.001,0.001,0.009,12,8,2022 row per 1,1,1176000,-6.605020672052952,565.0291126682034
R1234ZEE,R227EA,0.66803,0.33197,309.995,3.732,467.269,0.081,0.002,0.002,0.021,14,10,2022 row per 1,1,3732000,-6.680393341772982,13351.845850712236
R1234ZEE,R227EA,0.66803,0.33197,314.989,6.283,476.046,0.076,0.001,0.001,0.008,13,9,2022 row per 1,1,6283000,-6.755444309682531,13360.723860072205
R1234ZEE,R227EA,0.66803,0.33197,320.0,8.832,484.354,0.071,0.001,0.001,0.008,16,12,2022 row per 1,1,8832000,-6.8305532501698005,13365.84716939705
R1234ZEE,R227EA,0.66803,0.33197,325.006,11.37,492.282,0.068,0.001,0.002,0.015,13,9,2022 row per 1,1,11370000,-6.90536398425649,13368.624251933421
R1234ZEE,R227EA,0.66803,0.33197,329.998,13.92,500.104,0.064,0.002,0.002,0.023,15,11,2022 row per 1,1,13920000,-6.979717882205823,13372.525129190417
R1234ZEE,R227EA,0.66803,0.33197,335.003,16.403,507.121,0.061,0.003,0.015,0.121,16,12,2022 row per 1,1,16403000,-7.053992064022931,13368.803788685509
R1234ZEE,R227EA,0.66803,0.33197,340.008,18.918,514.183,0.059,0.002,0.001,0.007,9,6,2022 row per 1,1,18918000,-7.127967891347818,13368.24076504366
R1234ZEE,R227EA,0.66803,0.33197,345.013,21.422,521.04,0.056,0.001,0.002,0.018,14,10,2022 row per 1,1,21422000,-7.201621302494742,13366.793044940663
